配置1,配置2,相似度,族群1,族群2,同族群
chrome_103,chrome_104,1.0000,chrome,chrome,是
chrome_103,chrome_105,1.0000,chrome,chrome,是
chrome_103,chrome_106,1.0000,chrome,chrome,是
chrome_103,chrome_107,1.0000,chrome,chrome,是
chrome_103,chrome_108,1.0000,chrome,chrome,是
chrome_103,chrome_109,1.0000,chrome,chrome,是
chrome_103,chrome_110,1.0000,chrome,chrome,是
chrome_103,chrome_111,1.0000,chrome,chrome,是
chrome_103,chrome_112,1.0000,chrome,chrome,是
chrome_103,chrome_116_PSK,1.0000,chrome,chrome,是
chrome_103,chrome_116_PSK_PQ,1.0000,chrome,chrome,是
chrome_103,chrome_117,1.0000,chrome,chrome,是
chrome_103,chrome_120,1.0000,chrome,chrome,是
chrome_103,chrome_124,1.0000,chrome,chrome,是
chrome_103,chrome_130_PSK,1.0000,chrome,chrome,是
chrome_103,chrome_131,1.0000,chrome,chrome,是
chrome_103,chrome_131_PSK,1.0000,chrome,chrome,是
chrome_103,chrome_133,1.0000,chrome,chrome,是
chrome_103,chrome_133_PSK,1.0000,chrome,chrome,是
chrome_103,cloudflare_custom,1.0000,chrome,cloudflare,否
chrome_103,confirmed_android,1.0000,chrome,confirmed,否
chrome_103,confirmed_android_2,1.0000,chrome,confirmed,否
chrome_103,mesh_android,1.0000,chrome,mesh,否
chrome_103,mesh_android_2,1.0000,chrome,mesh,否
chrome_103,nike_android_mobile,1.0000,chrome,nike,否
chrome_103,okhttp4_android_10,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_11,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_12,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_13,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_7,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_8,1.0000,chrome,okhttp4,否
chrome_103,okhttp4_android_9,1.0000,chrome,okhttp4,否
chrome_103,opera_89,1.0000,chrome,opera,否
chrome_103,opera_90,1.0000,chrome,opera,否
chrome_103,opera_91,1.0000,chrome,opera,否
chrome_103,zalando_android_mobile,1.0000,chrome,zalando,否
chrome_104,chrome_105,1.0000,chrome,chrome,是
chrome_104,chrome_106,1.0000,chrome,chrome,是
chrome_104,chrome_107,1.0000,chrome,chrome,是
chrome_104,chrome_108,1.0000,chrome,chrome,是
chrome_104,chrome_109,1.0000,chrome,chrome,是
chrome_104,chrome_110,1.0000,chrome,chrome,是
chrome_104,chrome_111,1.0000,chrome,chrome,是
chrome_104,chrome_112,1.0000,chrome,chrome,是
chrome_104,chrome_116_PSK,1.0000,chrome,chrome,是
chrome_104,chrome_116_PSK_PQ,1.0000,chrome,chrome,是
chrome_104,chrome_117,1.0000,chrome,chrome,是
chrome_104,chrome_120,1.0000,chrome,chrome,是
chrome_104,chrome_124,1.0000,chrome,chrome,是
chrome_104,chrome_130_PSK,1.0000,chrome,chrome,是
