配置,期望族群,期望版本,预测族群,预测版本,相似度,是否正确
chrome_103,chrome,103,chrome,103,1.0000,是
chrome_104,chrome,104,chrome,104,1.0000,是
chrome_105,chrome,105,chrome,105,1.0000,是
chrome_106,chrome,106,chrome,106,1.0000,是
chrome_107,chrome,107,chrome,107,1.0000,是
chrome_108,chrome,108,chrome,108,1.0000,是
chrome_109,chrome,109,chrome,109,1.0000,是
chrome_110,chrome,110,chrome,110,1.0000,是
chrome_111,chrome,111,chrome,111,1.0000,是
chrome_112,chrome,112,chrome,112,1.0000,是
chrome_116_PSK,chrome,116_PSK,chrome,116_PSK,1.0000,是
chrome_116_PSK_PQ,chrome,116_PSK_PQ,chrome,116_PSK_PQ,1.0000,是
chrome_117,chrome,117,chrome,117,1.0000,是
chrome_120,chrome,120,chrome,120,1.0000,是
chrome_124,chrome,124,chrome,124,1.0000,是
chrome_130_PSK,chrome,130_PSK,chrome,130_PSK,1.0000,是
chrome_131,chrome,131,chrome,131,1.0000,是
chrome_131_PSK,chrome,131_PSK,chrome,131_PSK,1.0000,是
chrome_133,chrome,133,chrome,133,1.0000,是
chrome_133_PSK,chrome,133_PSK,chrome,133_PSK,1.0000,是
cloudflare_custom,cloudflare,custom,cloudflare,custom,1.0000,是
confirmed_android,confirmed,android,confirmed,android,1.0000,是
confirmed_android_2,confirmed,android_2,confirmed,android_2,1.0000,是
confirmed_ios,confirmed,ios,confirmed,ios,1.0000,是
firefox_102,firefox,102,firefox,102,1.0000,是
firefox_104,firefox,104,firefox,104,1.0000,是
firefox_105,firefox,105,firefox,105,1.0000,是
firefox_106,firefox,106,firefox,106,1.0000,是
firefox_108,firefox,108,firefox,108,1.0000,是
firefox_110,firefox,110,firefox,110,1.0000,是
firefox_117,firefox,117,firefox,117,1.0000,是
firefox_120,firefox,120,firefox,120,1.0000,是
firefox_123,firefox,123,firefox,123,1.0000,是
firefox_132,firefox,132,firefox,132,1.0000,是
firefox_133,firefox,133,firefox,133,1.0000,是
firefox_135,firefox,135,firefox,135,1.0000,是
mesh_android,mesh,android,mesh,android,1.0000,是
mesh_android_2,mesh,android_2,mesh,android_2,1.0000,是
mesh_ios,mesh,ios,mesh,ios,1.0000,是
mesh_ios_2,mesh,ios_2,mesh,ios_2,1.0000,是
mms_ios,mms,ios,mms,ios,1.0000,是
mms_ios_2,mms,ios_2,mms,ios_2,1.0000,是
mms_ios_3,mms,ios_3,mms,ios_3,1.0000,是
nike_android_mobile,nike,android_mobile,nike,android_mobile,1.0000,是
nike_ios_mobile,nike,ios_mobile,nike,ios_mobile,1.0000,是
okhttp4_android_10,okhttp4,android_10,okhttp4,android_10,1.0000,是
okhttp4_android_11,okhttp4,android_11,okhttp4,android_11,1.0000,是
okhttp4_android_12,okhttp4,android_12,okhttp4,android_12,1.0000,是
okhttp4_android_13,okhttp4,android_13,okhttp4,android_13,1.0000,是
okhttp4_android_7,okhttp4,android_7,okhttp4,android_7,1.0000,是
okhttp4_android_8,okhttp4,android_8,okhttp4,android_8,1.0000,是
okhttp4_android_9,okhttp4,android_9,okhttp4,android_9,1.0000,是
opera_89,opera,89,opera,89,1.0000,是
opera_90,opera,90,opera,90,1.0000,是
opera_91,opera,91,opera,91,1.0000,是
safari_15_6_1,safari,15_6_1,safari,15_6_1,1.0000,是
safari_16_0,safari,16_0,safari,16_0,1.0000,是
safari_ios_15_5,safari,ios_15_5,safari,ios_15_5,1.0000,是
safari_ios_15_6,safari,ios_15_6,safari,ios_15_6,1.0000,是
safari_ios_16_0,safari,ios_16_0,safari,ios_16_0,1.0000,是
safari_ios_17_0,safari,ios_17_0,safari,ios_17_0,1.0000,是
safari_ios_18_0,safari,ios_18_0,safari,ios_18_0,1.0000,是
safari_ios_18_5,safari,ios_18_5,safari,ios_18_5,1.0000,是
safari_ipad_15_6,safari,ipad_15_6,safari,ipad_15_6,1.0000,是
zalando_android_mobile,zalando,android_mobile,zalando,android_mobile,1.0000,是
zalando_ios_mobile,zalando,ios_mobile,zalando,ios_mobile,1.0000,是
