配置名,大小(KB),浏览器,版本
chrome_103,1,chrome,103
chrome_104,1,chrome,104
chrome_105,1,chrome,105
chrome_106,1,chrome,106
chrome_107,1,chrome,107
chrome_108,1,chrome,108
chrome_109,1,chrome,109
chrome_110,1,chrome,110
chrome_111,1,chrome,111
chrome_112,1,chrome,112
chrome_116_PSK,1,chrome,116_PSK
chrome_116_PSK_PQ,1,chrome,116_PSK_PQ
chrome_117,1,chrome,117
chrome_120,1,chrome,120
chrome_124,1,chrome,124
chrome_130_PSK,1,chrome,130_PSK
chrome_131,1,chrome,131
chrome_131_PSK,1,chrome,131_PSK
chrome_133,1,chrome,133
chrome_133_PSK,1,chrome,133_PSK
cloudflare_custom,1,cloudflare,custom
confirmed_android_2,1,confirmed,android_2
confirmed_android,1,confirmed,android
confirmed_ios,0,confirmed,ios
firefox_102,0,firefox,102
firefox_104,0,firefox,104
firefox_105,0,firefox,105
firefox_106,0,firefox,106
firefox_108,0,firefox,108
firefox_110,0,firefox,110
firefox_117,0,firefox,117
firefox_120,0,firefox,120
firefox_123,0,firefox,123
firefox_132,0,firefox,132
firefox_133,0,firefox,133
firefox_135,0,firefox,135
mesh_android_2,1,mesh,android_2
mesh_android,1,mesh,android
mesh_ios_2,0,mesh,ios_2
mesh_ios,0,mesh,ios
mms_ios_2,0,mms,ios_2
mms_ios_3,0,mms,ios_3
mms_ios,0,mms,ios
nike_android_mobile,1,nike,android_mobile
nike_ios_mobile,0,nike,ios_mobile
okhttp4_android_10,1,okhttp4,android_10
okhttp4_android_11,1,okhttp4,android_11
okhttp4_android_12,1,okhttp4,android_12
okhttp4_android_13,1,okhttp4,android_13
okhttp4_android_7,1,okhttp4,android_7
okhttp4_android_8,1,okhttp4,android_8
okhttp4_android_9,1,okhttp4,android_9
opera_89,1,opera,89
opera_90,1,opera,90
opera_91,1,opera,91
safari_15_6_1,0,safari,15_6_1
safari_16_0,0,safari,16_0
safari_ios_15_5,0,safari,ios_15_5
safari_ios_15_6,0,safari,ios_15_6
safari_ios_16_0,0,safari,ios_16_0
safari_ios_17_0,0,safari,ios_17_0
safari_ios_18_0,0,safari,ios_18_0
safari_ios_18_5,0,safari,ios_18_5
safari_ipad_15_6,0,safari,ipad_15_6
zalando_android_mobile,1,zalando,android_mobile
zalando_ios_mobile,0,zalando,ios_mobile
